iter	Passed	Remaining
0	1	179
1	3	158
2	4	151
3	5	142
4	7	143
5	9	141
6	10	139
7	11	136
8	13	133
9	14	131
10	15	129
11	17	127
12	18	124
13	20	123
14	21	121
15	23	120
16	24	119
17	25	117
18	27	115
19	28	114
20	29	112
21	31	111
22	32	109
23	33	106
24	34	102
25	34	99
26	35	95
27	36	92
28	36	90
29	37	87
30	38	85
31	39	82
32	39	80
33	40	78
34	40	75
35	41	73
36	42	71
37	42	69
38	43	67
39	43	65
40	44	64
41	44	61
42	45	60
43	46	58
44	46	57
45	47	55
46	48	54
47	48	52
48	49	51
49	49	49
50	50	48
51	51	47
52	52	46
53	52	45
54	53	43
55	53	42
56	54	41
57	55	39
58	55	38
59	56	37
60	56	36
61	57	35
62	58	34
63	58	33
64	59	31
65	59	30
66	60	29
67	61	28
68	61	27
69	62	26
70	62	25
71	63	24
72	64	23
73	65	22
74	66	22
75	66	21
76	67	20
77	67	19
78	68	18
79	69	17
80	69	16
81	70	15
82	71	14
83	71	13
84	72	12
85	72	11
86	73	10
87	73	10
88	74	9
89	75	8
90	75	7
91	76	6
92	76	5
93	77	4
94	78	4
95	78	3
96	79	2
97	79	1
98	80	0
99	80	0
