iter	Passed	Remaining
0	4091	4087565
1	4093	2042611
2	4095	1360962
3	4096	1020137
4	4098	815603
5	4100	679239
6	4101	581849
7	4103	508798
8	4104	451975
9	4106	406513
10	4107	369324
11	4109	338332
12	4110	312100
13	4111	289592
14	4112	270073
15	4113	252993
16	4114	237922
17	4115	224524
18	4116	212538
19	4117	201751
20	4118	191991
21	4119	183118
22	4120	175017
23	4121	167590
24	4122	160758
25	4122	154451
26	4123	148610
27	4124	143187
28	4125	138148
29	4127	133441
30	4128	129034
31	4128	124900
32	4129	121019
33	4130	117367
34	4131	113922
35	4133	110675
36	4134	107607
37	4135	104698
38	4136	101934
39	4137	99309
40	4138	96811
41	4139	94431
42	4141	92162
43	4141	89992
44	4142	87921
45	4143	85935
46	4144	84029
47	4144	82205
48	4145	80454
49	4146	78775
50	4146	77160
51	4147	75608
52	4147	74114
53	4148	72675
54	4149	71288
55	4149	69951
56	4150	68661
57	4150	67415
58	4151	66211
59	4151	65047
60	4152	63921
61	4153	62832
62	4153	61778
63	4154	60757
64	4154	59767
65	4155	58809
66	4156	57882
67	4157	56981
68	4158	56104
69	4158	55253
70	4159	54427
71	4160	53621
72	4160	52837
73	4161	52074
74	4162	51331
75	4162	50609
76	4163	49904
77	4163	49218
78	4164	48549
79	4164	47896
80	4165	47260
81	4166	46640
82	4166	46031
83	4167	45441
84	4167	44863
85	4168	44300
86	4168	43749
87	4169	43211
88	4170	42684
89	4170	42170
90	4171	41669
91	4172	41178
92	4172	40697
93	4173	40226
94	4174	39765
95	4175	39314
96	4175	38871
97	4176	38437
98	4176	38012
99	4177	37596
100	4177	37187
101	4178	36787
102	4179	36394
103	4179	36009
104	4180	35632
105	4180	35261
106	4181	34898
107	4182	34541
108	4182	34190
109	4183	33847
110	4183	33509
111	4184	33177
112	4185	32851
113	4186	32533
114	4187	32222
115	4187	31914
116	4188	31609
117	4189	31311
118	4189	31017
119	4190	30728
120	4190	30444
121	4191	30164
122	4191	29889
123	4192	29618
124	4193	29352
125	4193	29090
126	4194	28831
127	4194	28578
128	4195	28328
129	4196	28082
130	4196	27839
131	4197	27601
132	4198	27366
133	4198	27134
134	4199	26906
135	4199	26681
136	4200	26459
137	4201	26242
138	4202	26028
139	4202	25816
140	4203	25607
141	4203	25399
142	4204	25196
143	4204	24995
144	4205	24798
145	4206	24602
